name,time
Zaalapaap,224.0
Zaalapapa,224.0
Zaaraaapp,224.0
Zaprapaaa,224.0
Zaprappap,224.0
Zaprpppap,224.0
Zpaaaaaap,224.0
Zpaapaaap,224.0
Zaalaaapp,225.0
Zaarpppap,225.0
Zaplapaap,225.0
Zaprappaa,225.0
Zaprpapaa,225.0
Zaprppapa,225.0
Zpapalp,225.0
Zppapapa,225.0
Zaalappap,226.0
Zaalpppaa,226.0
Zaplppapa,226.0
Zppapapp,226.0
Zaarapaaa,227.0
Zaarappaa,227.0
Zaarpappa,227.0
Zaarppaap,227.0
Zaalapaaa,228.0
Zaplaaapa,228.0
Zaplapppp,228.0
Zpapara,228.0
Zaalaappa,229.0
Zaalpaaap,229.0
Zaplapppa,229.0
Zaprapaap,229.0
Zpaaaapap,229.0
Zpaapapap,229.0
Zaalppaap,230.0
Zaplppaap,230.0
Zaplppapp,230.0
Zaprppaap,230.0
Zaprppapp,230.0
Zpaapaapa,230.0
Zpaparp,230.0
Zppaaapp,230.0
Zaalaaaal,231.0
Zaalpaaaa,231.0
Zaarpaaaa,231.0
Zaarpppaa,231.0
Zapraaaaa,231.0
Zaprapppa,231.0
Zpappla,231.0
Zppapppa,231.0
Zaalaaaar,232.0
Zaaraaaaa,232.0
Zaarppppa,232.0
Zaprapppp,232.0
Zaalppaaa,233.0
Zaarppaaa,233.0
Zaarppppp,233.0
Zaalaapap,234.0
Zaarppapa,234.0
Zaplppaaa,234.0
Zpappra,234.0
Zaalaapaa,235.0
Zaarppapp,235.0
Zaprppaaa,235.0
Zaarpaaap,236.0
Zpapplp,236.0
Zppaappa,236.0
Zppapppp,236.0
Zaaraaaap,237.0
Zpaappaaa,237.0
Zaalappaa,238.0
Zpaaapaaa,238.0
Zpaaapapa,238.0
Zpaappapa,238.0
Zppaappp,240.0
Zpapprp,241.0
Zppappaa,243.0
Zppappap,244.0
Zppaapaa,246.0
Zpaappapp,247.0
Zppaapap,247.0
Zpaaapapp,248.0
Zpaaaaapp,257.0
Zpaaapppa,259.0
Zpaaapaap,259.0
Zpaapppaa,260.0
Zpaappppa,260.0
Zpaappaap,261.0
Zpaapappp,262.0
Zaalpaapap,262.0
Zpaaappaa,262.0
Zaalpppppp,262.0
Zaalpapppp,264.0
Zpaaaappp,265.0
Zpaaapppp,265.0
Zpaappppp,265.0
Zaarapappp,265.0
Zaplpappaa,267.0
Zpaapppap,267.0
Zapraaappp,267.0
Zpppaapp,268.0
Zpppappp,268.0
Zpppaapa,271.0
Zpaaaaaaap,271.0
Zpaaappap,272.0
Zaalpappap,272.0
Zaaraapppa,272.0
Zaaraaapap,273.0
Zaaraapapa,273.0
Zpppappa,274.0
Zpaaaappa,275.0
Zpaaaapaap,275.0
Zpppaaaa,276.0
Zpaapapaap,276.0
Zpaapaaaap,277.0
Zpaaaaapaa,277.0
Zaalapappa,277.0
Zaarapaapp,277.0
Zaalappppa,277.0
Zaplpppapa,278.0
Zpaapappa,278.0
Zpppapaa,279.0
Zpaapaaapp,280.0
Zaprpppapa,280.0
Zpppapap,281.0
Zpaaaapaaa,281.0
Zpppaaap,281.0
Zpaapapaaa,282.0
Zaarapapap,283.0
Zaaraappap,283.0
Zaalpaapaa,283.0
Zaalapppap,283.0
Zpaaaaapap,284.0
Zaalpppppa,284.0
Zaplaapapp,284.0
Zapraapapp,285.0
Zaalppappp,286.0
Zaarpapaap,286.0
Zpaaaaaapa,286.0
Zaprpappaa,286.0
Zaarappppp,286.0
Zaalpppapp,286.0
Zaplaaaaap,287.0
Zaaraapaap,288.0
Zaplpaappp,288.0
Zaplpaaapp,288.0
Zaalaapppp,288.0
Zaprpappap,288.0
Zaalppppap,289.0
Zaalpapaaa,289.0
Zaalapapap,289.0
Zaplpaaaap,289.0
Zaprppppap,289.0
Zaalpapapa,289.0
Zaalapaapp,290.0
Zaprpaaapp,290.0
Zaprpaaaap,290.0
Zaalappppp,290.0
Zpaapaapap,290.0
Zaprpaappp,290.0
Zaprpapapa,290.0
Zaaraaapaa,291.0
Zaalpappaa,291.0
Zaplpapapa,291.0
Zaprpapppp,291.0
Zaplppppaa,292.0
Zaprpppppp,292.0
Zapraaaapp,292.0
Zaplppppap,292.0
Zaplpaappa,292.0
Zaprpapapp,292.0
Zaprpaappa,292.0
Zaplpppppp,293.0
Zpaapapapp,293.0
Zaplpapapp,293.0
Zaprppppaa,293.0
Zaprpapppa,293.0
Zaalapappp,293.0
Zaalapppaa,294.0
Zaarapapaa,294.0
Zapraaappa,294.0
Zpaaaapapp,294.0
Zaalappapp,294.0
Zaarappapa,294.0
Zapraapaap,294.0
Zaplaapaap,294.0
Zaalppappa,295.0
Zaarappppa,295.0
Zaprppapaa,295.0
Zaalppppaa,296.0
Zaalpaappp,296.0
Zaplppaaaa,296.0
Zaplppapaa,296.0
Zaalpppapa,297.0
Zaplapaaap,298.0
Zaplpaapaa,298.0
Zapraaapap,298.0
Zaplpaaaaa,298.0
Zaprppaaaa,298.0
Zaalppapap,298.0
Zaalaaapal,298.0
Zaplpaapap,299.0
Zaplpapppa,299.0
Zaplpppaap,299.0
Zaarapppap,299.0
Zaalaaappr,300.0
Zpaaaaaapp,300.0
Zaalpapapp,300.0
Zaalapaaap,300.0
Zaplapppap,300.0
Zaprpaaaaa,300.0
Zaprpaapap,300.0
Zaarappapp,300.0
Zaprpaapaa,300.0
Zaplapaaaa,301.0
Zaplpapaaa,302.0
Zaaraappaa,302.0
Zaaraapaaa,302.0
Zaaraaappp,302.0
Zaprpppaaa,302.0
Zaprapaaap,302.0
Zapraaaapa,302.0
Zppapppaa,302.0
Zaplpppaaa,303.0
Zaprpapaaa,304.0
Zaplpapppp,304.0
Zaprpppaap,304.0
Zaalppapaa,304.0
Zaplpapaap,304.0
Zaarapppaa,304.0
Zaplapappp,304.0
Zaprpapaap,304.0
Zaprapppap,305.0
Zaalpaaaaa,306.0
Zppaaapa,306.0
Zaarapaaaa,306.0
Zaprapaaaa,306.0
Zapraapaaa,306.0
Zaplaapaaa,306.0
Zaplaapapa,307.0
Zapraapapa,307.0
Zaalpaappa,308.0
Zaarappaaa,308.0
Zaprppaapp,308.0
Zaalppaapp,308.0
Zaalaappap,308.0
Zaprppappa,308.0
Zapraaapaa,308.0
Zaprpppppa,309.0
Zaplppaapp,309.0
Zaalpapaap,309.0
Zaalaapapp,309.0
Zaplppappa,309.0
Zaaraapppp,310.0
Zaalppaaap,310.0
Zppaappaa,310.0
Zpaapaaapa,310.0
Zaprapappp,310.0
Zaaraapapp,312.0
Zaalpaaapp,312.0
Zaalaaapar,312.0
Zaalaaappl,312.0
Zaaraaaaap,313.0
Zaplpppppa,313.0
Zaalpppaaa,313.0
Zaalaaaarr,313.0
Zaalaaaarl,313.0
Zaalpaaapa,313.0
Zaaraaaaaa,314.0
Zaaraaappa,314.0
Zppapppap,315.0
Zaalaapppa,315.0
Zaarappaap,315.0
Zaarpapaaa,315.0
Zaarapaapa,315.0
Zaplppapap,315.0
Zppappppa,316.0
Zaarapaaap,316.0
Zaplaaaaaa,316.0
Zapraaaaaa,316.0
Zaplppaapa,316.0
Zaprpaaapa,316.0
Zaprppapap,317.0
Zaalpaaaap,317.0
Zaplpaaapa,317.0
Zaprppaapa,318.0
Zpaapaapaa,318.0
Zaalpppaap,318.0
Zaalapaapa,319.0
Zppaappap,319.0
Zaplppappp,320.0
Zpaapaaaaa,320.0
Zppaapppa,321.0
Zaalpapppa,323.0
Zaprppappp,323.0
Zaarpaaapa,324.0
Zaarpaaaap,324.0
Zppappaaa,324.0
Zaalaaaalp,324.0
Zaalaapaap,325.0
Zaplapppaa,326.0
Zppaapaaa,326.0
Zaarapappa,326.0
Zppappppp,327.0
Zaarpaaaaa,327.0
Zapraaaaap,327.0
Zaalappapa,329.0
Zaalaaaala,329.0
Zppappapa,329.0
Zaaraaaapa,329.0
Zppaapapa,331.0
Zaprapppaa,332.0
Zppaapaap,334.0
Zaalaapaaa,334.0
Zaalppppppp,335.0
Zppappaap,336.0
Zppaapppp,337.0
Zaalappaap,338.0
Zpaapapppa,340.0
Zpaapapapa,340.0
Zppappapp,341.0
Zppaapapp,343.0
Zaalppppppa,345.0
Zpaaaaaaapa,346.0
Zapraaapppp,347.0
Zpaaaapppa,348.0
Zpaaaapapa,351.0
Zpppaappa,351.0
Zapraaapppa,352.0
Zpppapppa,353.0
Zaalapaaaa,353.0
Zpppaappp,362.0
